,Title,Locality,Size,Rooms,Price
0,ザ・東京タワーズミッドタワー,東京都中央区勝どき６,140.09 m2,Unknown,17.4万円
1,エスレジデンス月島,東京都中央区月島３,44.67 m2,1,10.4万円
2,ＣＡＰＩＴＡＬ　ＧＡＴＥ　ＰＬＡＣＥ　ザ・タワー,東京都中央区月島１,78.75 m2,Unknown,19.5万円
3,リバーポイントタワー,東京都中央区佃１,81.2 m2,Unknown,20.5万円
4,アーデン神保町,東京都千代田区神田小川町３,58.46 m2,Unknown,22.2万円
5,アクティ汐留,東京都港区海岸１,168.57 m2,Unknown,18.8万円
6,GENOVIA駒込駅II　greenveil,東京都文京区本駒込２,52.48 m2,Unknown,20.5万円
7,プラザ勝どき,東京都中央区勝どき１,99.34 m2,1,10.7万円
8,東京メトロ半蔵門線 水天宮前駅 13階建 築15年,東京都中央区日本橋浜町３,24.02 m2,1,8.6万円
9,西新宿4丁目戸建,東京都新宿区西新宿４,130.47 m2,Unknown,60万円
10,スカイハイム高橋五番館,東京都文京区千駄木３,38.34 m2,1,6.8万円
11,リバーシティ21イーストタワーズ2,東京都中央区佃２,79.51 m2,1,12.9万円
12,パークタワー芝浦ベイワード アーバンウイング,東京都港区芝浦２,106.43 m2,Unknown,20.8万円
13,神田リープレックスリズ,東京都千代田区神田多町２,45.82 m2,Unknown,17万円
14,ローレルアイ千代田淡路町,東京都千代田区神田小川町１,37.79 m2,Unknown,15.9万円
15,プライムメゾン本郷,東京都文京区本郷４,45.77 m2,1,11.4万円
16,プレミアムキューブG渋谷神南,東京都渋谷区神南１,24.12 m2,1,11万円
17,アイフェリーク神田,東京都千代田区神田東紺屋町,22.14 m2,1,7.8万円
18,サンピエス根津,東京都文京区根津１,61.19 m2,1,8.7万円
19,恵比寿ガーデンテラス弐番館,東京都渋谷区恵比寿４,79.25 m2,1,21.7万円
20,東京メトロ千代田線 代々木公園駅 2階建 築30年,東京都渋谷区富ヶ谷２,32 m2,Unknown,12.2万円
21,ステージファースト水道橋,東京都千代田区神田猿楽町２,25.58 m2,1,9.9万円
22,ブライズ音羽,東京都文京区音羽１,22.23 m2,1,7.2万円
23,AXAS文京本駒込,東京都文京区本駒込４,43.65 m2,Unknown,15.9万円
24,AZURE神田錦町,東京都千代田区神田錦町１,42.47 m2,Unknown,12.3万円
25,リトルLAPiS神楽坂　（LAPiS神楽坂II）,東京都新宿区榎町,30.53 m2,Unknown,14.9万円
26,セブンハイツ芝,東京都港区芝３,42.5 m2,Unknown,13.5万円
27,ルーブル三田,東京都港区芝４,25.5 m2,1,8.8万円
28,グレース東神田,東京都千代田区東神田２,28.05 m2,1,9.9万円
29,ＪＲ中央線 御茶ノ水駅 13階建 築12年,東京都千代田区神田多町２,42.37 m2,1,9.85万円
