,-Title,Locality,Price,Rooms
0,久松邸,東京都文京区目白台２,2.5万円,1
1,名越荘,東京都新宿区赤城下町,2.6万円,1
2,東京メトロ千代田線 千駄木駅 2階建 築43年,東京都文京区千駄木１,2.6万円,1
3,司荘,東京都新宿区北新宿２,2.5万円,1
4,川村アパート,東京都新宿区喜久井町,2.6万円,1
5,都営大江戸線 落合南長崎駅 2階建 築41年,東京都新宿区西落合３,2.6万円,1
6,大和荘,東京都文京区本駒込４,2.5万円,1
7,東京メトロ千代田線 千駄木駅 2階建 築49年,東京都文京区千駄木３,2.9万円,1
8,寺田アパート,東京都文京区千石４,2.6万円,1
9,河野荘,東京都渋谷区代々木５,2.9万円,1
10,高栄荘,東京都文京区千駄木５,2.8万円,1
11,ＪＲ山手線 巣鴨駅 2階建 築55年,東京都文京区千石４,2.6万円,1
12,三枝荘,東京都新宿区高田馬場４,2.9万円,1
13,山崎荘,東京都渋谷区本町４,3万円,1
14,東京メトロ南北線 東大前駅 2階建 築38年,東京都文京区本郷６,2.9万円,1
15,もたいアパート,東京都文京区千駄木５,3万円,1
16,早川荘　別館,東京都新宿区早稲田南町,2.9万円,1
17,東京メトロ東西線 早稲田駅 2階建 築56年,東京都新宿区早稲田南町,2.9万円,1
18,京王新線 幡ヶ谷駅 2階建 築54年,東京都渋谷区幡ヶ谷１,3万円,1
19,五十嵐荘,東京都新宿区早稲田南町,2.4万円,1
20,ＪＲ山手線 高田馬場駅 2階建 築46年,東京都新宿区高田馬場４,2.7万円,1
21,狩野荘,東京都新宿区弁天町,2.9万円,1
22,プティハウス,東京都新宿区若松町,3万円,1
23,ＪＲ中央線 東中野駅 2階建 築40年,東京都新宿区北新宿４,2.9万円,1
24,越後屋アパート,東京都新宿区北新宿４,2.9万円,1
25,野口荘,東京都文京区白山２,3万円,2
26,都営大江戸線 西新宿五丁目駅 2階建 築47年,東京都渋谷区本町４,3万円,1
27,都営大江戸線 牛込柳町駅 3階建 築49年,東京都新宿区喜久井町,2.9万円,1
28,青柳荘,東京都新宿区喜久井町,2.9万円,1
29,東京メトロ東西線 早稲田駅 3階建 築42年,東京都新宿区早稲田鶴巻町,3万円,1
